"link","type","ID","Event","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl"
"http://www.chess.com/livechess/game?id=1071620182","livechess",1071620182,"Live Chess","2015-02-25","kalloskagathos","thinkboolean","1-0","1183","1188","5|0"
"http://www.chess.com/livechess/game?id=1071621791","livechess",1071621791,"Live Chess","2015-02-25","thinkboolean","kalloskagathos","1-0","1196","1175","5|0"
"http://www.chess.com/livechess/game?id=1071627820","livechess",1071627820,"Live Chess","2015-02-25","kalloskagathos","thinkboolean","1/2-1/2","1175","1196","5|0"
"http://www.chess.com/livechess/game?id=1071633933","livechess",1071633933,"Live Chess","2015-02-25","AlexV82Taxi","thinkboolean","0-1","1147","1203","5|0"
"http://www.chess.com/livechess/game?id=1071649753","livechess",1071649753,"Live Chess","2015-02-25","thinkboolean","blackothellofli","0-1","1194","1183","5|0"
"http://www.chess.com/livechess/game?id=1072003274","livechess",1072003274,"Live Chess","2015-02-26","thinkboolean","archimedesjlj","0-1","1185","1163","5|0"
"http://www.chess.com/livechess/game?id=1072007310","livechess",1072007310,"Live Chess","2015-02-26","DNMOONEY","thinkboolean","0-1","1207","1194","5|0"
"http://www.chess.com/livechess/game?id=1072009949","livechess",1072009949,"Live Chess","2015-02-26","saltyfish101","thinkboolean","1-0","1145","1185","5|0"
"http://www.chess.com/livechess/game?id=1073684646","livechess",1073684646,"Live Chess","2015-02-27","angozapa","thinkboolean","0-1","1253","1195","5|0"
"http://www.chess.com/livechess/game?id=1073690477","livechess",1073690477,"Live Chess","2015-02-27","l2099","thinkboolean","0-1","1191","1203","5|0"
"http://www.chess.com/livechess/game?id=1073726478","livechess",1073726478,"Live Chess","2015-02-27","thinkboolean","sainaaaa","1-0","1211","1203","5|0"
"http://www.chess.com/livechess/game?id=1073729962","livechess",1073729962,"Live Chess","2015-02-27","sainaaaa","thinkboolean","0-1","1195","1219","5|0"
"http://www.chess.com/livechess/game?id=1073735154","livechess",1073735154,"Live Chess","2015-02-27","thinkboolean","ramtulla123","0-1","1212","1277","5|0"
"http://www.chess.com/livechess/game?id=1073739965","livechess",1073739965,"Live Chess","2015-02-27","thinkboolean","sainaaaa","1/2-1/2","1212","1195","5|0"
"http://www.chess.com/livechess/game?id=1073746076","livechess",1073746076,"Live Chess","2015-02-27","atilla59","thinkboolean","1-0","1187","1203","5|0"
"http://www.chess.com/livechess/game?id=1074048101","livechess",1074048101,"Live Chess","2015-02-28","thinkboolean","Emilalal","0-1","1194","1180","5|0"
"http://www.chess.com/livechess/game?id=1074111790","livechess",1074111790,"Live Chess","2015-02-28","thinkboolean","stafski","1-0","1203","1235","5|0"
"http://www.chess.com/livechess/game?id=1074120059","livechess",1074120059,"Live Chess","2015-02-28","thinkboolean","macbethsghost","0-1","1194","1176","5|0"
"http://www.chess.com/livechess/game?id=1074126671","livechess",1074126671,"Live Chess","2015-02-28","kdrmanac","thinkboolean","1-0","1154","1185","5|0"
"http://www.chess.com/livechess/game?id=1074129448","livechess",1074129448,"Live Chess","2015-02-28","thinkboolean","sanjay-narayan-1970","0-1","1178","1216","5|0"
"http://www.chess.com/livechess/game?id=1074460870","livechess",1074460870,"Live Chess","2015-02-28","bcornel","thinkboolean","0-1","1205","1187","5|0"
"http://www.chess.com/livechess/game?id=1074472154","livechess",1074472154,"Live Chess","2015-02-28","jkjk0707","thinkboolean","0-1","1178","1195","5|0"
"http://www.chess.com/livechess/game?id=1074473689","livechess",1074473689,"Live Chess","2015-02-28","Loffaa","thinkboolean","0-1","1167","1203","5|0"
"http://www.chess.com/livechess/game?id=1074524635","livechess",1074524635,"Live Chess","2015-02-28","thinkboolean","SB31","1-0","1211","1191","5|0"
"http://www.chess.com/livechess/game?id=1074532101","livechess",1074532101,"Live Chess","2015-02-28","jovicmar","thinkboolean","1/2-1/2","1251","1212","5|0"
"http://www.chess.com/livechess/game?id=1074559982","livechess",1074559982,"Live Chess","2015-02-28","jamijrod","thinkboolean","0-1","1127","1218","5|0"
"http://www.chess.com/livechess/game?id=1074564442","livechess",1074564442,"Live Chess","2015-02-28","thinkboolean","jamijrod","0-1","1208","1137","5|0"
"http://www.chess.com/livechess/game?id=1074603170","livechess",1074603170,"Live Chess","2015-02-28","thinkboolean","Zenmastur","1/2-1/2","1208","1196","5|0"
"http://www.chess.com/livechess/game?id=1074671130","livechess",1074671130,"Live Chess","2015-02-28","thinkboolean","alperkumlu","1-0","1215","1141","5|0"
"http://www.chess.com/livechess/game?id=1074676763","livechess",1074676763,"Live Chess","2015-02-28","alperkumlu","thinkboolean","0-1","1135","1221","5|0"
"http://www.chess.com/livechess/game?id=1075386515","livechess",1075386515,"Live Chess","2015-03-01","thinkboolean","prken","1-0","1229","1215","5|0"
"http://www.chess.com/livechess/game?id=1075400796","livechess",1075400796,"Live Chess","2015-03-01","Buckmeister","thinkboolean","1-0","1256","1221","5|0"
