"","Event","Site","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl","Termination","pgn"
"beta30","Live Chess","Chess.com","2012.12.15","thinkboolean","historicity","1-0","1055","1033","10|0","thinkboolean won by checkmate"," 1.e3 d5 2.h3 e5 3.b3 Nc6 4.g4 h5 5.gxh5 Nf6 6.Bg2 Be6 7.Bf3 Qd6 8.Bg4 O-O-O 9.f3 Nb4 10.Ba3 c5 11.c3 Nc6 12.d3 e4 13.d4 exf3 14.Bxf3 Be7 15.Qe2 Ne4 16.Bxe4 dxe4 17.Bxc5 Qg3+ 18.Kd2 Bxc5 19.Kc2 Be7 20.Nd2 Bf5 21.Nf1 Qg5 22.h4 Qxh5 23.Ng3 Qxe2+ 24.N1xe2 Be6 25.Nxe4 Bf5 26.N2g3 Bxe4+ 27.Nxe4 g5 28.hxg5 Rxh1 29.Rxh1 Re8 30.Rh7 Rf8 31.c4 Nb4+ 32.Kb2 Nd3+ 33.Kc3 Nb4 34.c5 Nd5+ 35.Kd3 f6 36.gxf6 Nxf6 37.Nxf6 Bxf6 38.Kc4 Re8 39.Kd3 Bg5 40.e4 b5 41.e5 Rf8 42.Rxa7 Rf3+ 43.Ke4 Rf1 44.Kd5 Bf4 45.Kc6 b4 46.Ra8# 1-0 "
"beta31","Live Chess","Chess.com","2012.12.15","Robbin-","thinkboolean","0-1","973","1061","10|0","thinkboolean won on time"," 1.e3 e6 2.c4 b6 3.Nc3 h6 4.Nf3 Qf6 5.d4 Bb7 6.Nb5 Na6 7.Nc3 Bc6 8.d5 exd5 9.cxd5 Bb7 10.Bb5 O-O-O 11.O-O Nc5 12.Qc2 a6 13.Be2 d6 14.Nd4 g6 15.f3 Ne7 16.e4 h5 17.Na4 Qxd4+ 18.Kh1 Qb4 19.Nxc5 dxc5 20.a3 Qd4 21.Bd2 Bg7 22.Bc3 Qe3 23.Bxg7 Rhe8 24.Bc3 c6 25.dxc6 Bxc6 26.Bxa6+ Kc7 27.Be5+ Rd6 28.Rad1 Red8 29.Bxd6+ Rxd6 30.Rxd6 Kxd6 31.Bc4 b5 32.Bxf7 c4 33.Bxg6 Nxg6 34.Rd1+ Ke6 35.Qd2 Qxd2 36.Rxd2 Bd7 37.Rd5 Ne5 38.Rxb5 Nd3 39.a4 Bxb5 40.axb5 Nxb2 0-1 "
"beta32","Live Chess","Chess.com","2012.12.15","Poohtech","thinkboolean","1-0","1154","1055","10|0","Poohtech won by checkmate"," 1.e4 e6 2.d4 Qh4 3.Qf3 Bd6 4.Ne2 Nh6 5.e5 Bb4+ 6.c3 Ba5 7.g3 Qg4 8.Bg2 Nc6 9.Bxh6 Qxf3 10.Bxf3 gxh6 11.Bxc6 bxc6 12.O-O Bb6 13.Nf4 c5 14.Nh5 Ke7 15.Nd2 Rg8 16.Ne4 cxd4 17.Nef6 Rg6 18.cxd4 Bxd4 19.Rac1 Bxe5 20.Nxh7 f5 21.Rxc7 Kf7 22.Rc5 Bd6 23.Rc4 Ba6 24.Rd4 Bxf1 25.Kxf1 Bc5 26.Rxd7+ Kg8 27.N7f6+ Kh8 28.Rh7# 1-0 "
"beta33","Live Chess","Chess.com","2012.12.19","thinkboolean","DestinyCityJuke","1-0","1064","1096","10|0","thinkboolean won by checkmate"," 1.e3 e5 2.h3 f5 3.b3 e4 4.Bb2 Be7 5.d3 Nf6 6.f3 exf3 7.Qxf3 Nc6 8.Bxf6 Bxf6 9.d4 Qe7 10.Nc3 Bxd4 11.Nd5 Qe6 12.Nxc7+ Ke7 13.Nxe6 dxe6 14.Rd1 Bb6 15.Bc4 Nb4 16.c3 Nc2+ 17.Kd2 Nxe3 18.Ne2 Nxd1 19.Rxd1 Rd8+ 20.Kc2 Bd7 21.Qxb7 Rab8 22.Rxd7+ Ke8 23.Rxd8+ Rxd8 24.Bb5+ Kf8 25.Nf4 Kg8 26.Nxe6 Rd6 27.Qxg7# 1-0 "
"beta34","Live Chess","Chess.com","2012.12.19","DestinyCityJuke","thinkboolean","1-0","1103","1057","10|0","DestinyCityJuke won by checkmate"," 1.e4 Nf6 2.Nc3 e6 3.Nf3 Bb4 4.Ne2 Nxe4 5.Ned4 b6 6.c3 Bd6 7.d3 Nc5 8.Ne5 g6 9.Ng4 Bb7 10.Be3 Nca6 11.Qd2 c5 12.Nb5 Qe7 13.Bg5 f6 14.Bxf6 Qf8 15.Bxh8 h5 16.Nxd6+ Qxd6 17.Nf6+ Ke7 18.Ne4 Bxe4 19.dxe4 Nc6 20.Bg7 Nc7 21.O-O-O Rg8 22.Qxd6+ Kd8 23.Bf6+ Kc8 24.Qxd7+ Kb8 25.Qxc6 Rc8 26.Be5 a6 27.Bxc7+ Rxc7 28.Qe8+ Rc8 29.Rd8 Rxd8 30.Qxd8+ Ka7 31.Qc7+ Ka8 32.Bxa6 b5 33.Qb7# 1-0 "
"beta35","Live Chess","Chess.com","2012.12.22","thinkboolean","RuyLopez007","0-1","1051","1177","10|0","RuyLopez007 won by checkmate"," 1.e3 e5 2.h3 Nf6 3.Nf3 d6 4.d4 Be6 5.Nfd2 e4 6.f3 exf3 7.Qxf3 Be7 8.Qg3 O-O 9.Bd3 Nh5 10.Qf3 Nf6 11.Rf1 Bd5 12.Qg3 Nh5 13.Qg4 Nf6 14.Qf5 g6 15.Qf4 Nh5 16.Qh2 Bg5 17.Nc4 Qe7 18.Qg1 Ng3 19.Rf2 Be4 20.Bxe4 Qxe4 21.Nc3 Qe6 22.Na5 b6 23.Nb7 Bxe3 24.Nd5 Bxf2+ 25.Kxf2 Ne4+ 26.Kf3 Qxd5 27.Bh6 Nf6+ 28.Ke3 Qe4+ 29.Kd2 Re8 30.Qe3 Qxb7 31.Qg5 Nbd7 32.Rf1 Qe4 33.Rxf6 Qxd4+ 34.Kc1 Nxf6 35.Qd2 Qg1+ 36.Qd1 Re1 37.c3 Rxd1+ 38.Kc2 Qf2+ 39.Kb3 a5 40.Bg5 Ne4 41.h4 Nc5+ 42.Ka3 Qd2 43.Bxd2 Rxd2 44.b4 axb4+ 45.Kxb4 Rb2+ 46.Kc4 Ra4+ 47.Kd5 Rd2+ 48.Kc6 Ra6 49.Kxc7 Ra7+ 50.Kxb6 Ra6+ 51.Kc7 Rxg2 52.Kd8 Re2 53.h5 Ra7 54.hxg6 fxg6 55.Kc8 Ree7 56.Kb8 Rab7+ 57.Kc8 Rbc7+ 58.Kb8 Rb7+ 59.Kc8 Re8# 0-1 "
"beta36","Live Chess","Chess.com","2012.12.22","thinkboolean","sl_97","1-0","1058","994","10|0","thinkboolean won by resignation"," 1.e3 e5 2.Bd3 Nc6 3.Qf3 d6 4.Ne2 Nge7 5.b3 f5 6.Qg3 b6 7.Bb2 Qd7 8.Bc4 d5 9.Bb5 Bb7 10.Bxe5 a6 11.Bxc6 Qxc6 12.c3 O-O-O 13.Bxg7 Bxg7 14.Qxg7 Ng6 15.Qh6 d4 16.cxd4 Qxg2 17.Ng3 Ne7 18.Qf4 Qd5 19.Nc3 Ng6 20.Qxf5+ Qxf5 21.Nxf5 Bxh1 22.e4 Rhe8 23.d3 Ne7 24.d5 Nxf5 25.O-O-O Nd4 26.Rxh1 Rf8 27.Nd1 Rf3 28.Kd2 Nb5 29.Rf1 Nd6 30.Ke2 Rh3 31.Rh1 Re8 32.Ne3 Kb7 33.Ng2 Nf5 34.Nf4 Rh4 35.Ne6 Ne7 36.Ng7 Rg8 37.Nf5 Nxf5 38.exf5 Re8+ 39.Kf3 Re5 40.Kg3 Rd4 41.Rg1 Rxd3+ 42.Kf4 Rexd5 43.Rg7 R3d4+ 44.Kg5 Rd7 45.Rg8 Rd1 46.f6 Rg1+ 47.Kf5 Rxg8 48.Ke6 Rd4 49.f7 Rg5 50.f8=Q Rd6+ 51.Ke7 Re5+ 52.Kf7 Rd7+ 53.Kg8 Rg5+ 54.Kh8 1-0 "
"beta37","Live Chess","Chess.com","2012.12.22","SENSEIX","thinkboolean","0-1","853","1063","10|0","thinkboolean won on time"," 1.e3 e6 2.c3 b6 3.Nf3 h5 4.Ne5 Rh6 5.Nxf7 Kxf7 6.Qf3+ Nf6 7.Qxa8 Nc6 8.Bb5 Ng4 9.Bxc6 dxc6 10.Qxa7 e5 11.Qa4 c5 12.Qc4+ Be6 13.Qe2 Bd6 14.O-O e4 15.f4 Qh4 16.h3 Nf6 17.d3 exd3 18.Qxd3 Rg6 19.Nd2 Qg3 20.Rf2 Bxh3 21.Qc4+ Be6 22.Qd3 Ng4 23.Re2 Qh2+ 24.Kf1 Rf6 25.Ke1 Qg1+ 26.Nf1 Nh2 27.Rf2 Nxf1 28.Rxf1 Qxg2 29.Bd2 Qg3+ 30.Kd1 Bg4+ 31.Kc1 Bxf4 32.b3 Bd6 33.Kb2 Qe5 34.Rxf6+ Kxf6 35.Rf1+ Kg5 36.e4+ Kg6 37.Bf4 Qe6 38.e5+ Bf5 39.Qg3+ Bg4 40.exd6 Qe2+ 41.Ka3 Qxf1 42.dxc7 Qa6+ 43.Kb2 Qc8 44.Qd3+ Bf5 45.Qd8 Kf7 46.Bd6 g6 47.Qf6+ Kg8 48.Qf8+ Kh7 49.Qf7+ Kh8 50.Qf8+ Kh7 51.Qe7+ Kh6 52.Bf4+ g5 53.Qxg5+ Kh7 54.Qxh5+ Kg7 55.Be5+ Kf8 56.Qh6+ Kf7 57.Qg7+ Ke8 58.Qg8+ Kd7 59.Qd8+ Kc6 60.Qd6+ Kb7 61.Qd5+ Ka7 62.Qc6 Bd7 63.Qd6 Ka6 64.a4 Ka5 65.Bf4 b5 66.axb5 Kxb5 67.Qd3+ Kb6 68.Qd6+ Kb5 69.Qd3+ Kb6 70.Qd6+ Kb5 71.c4+ Ka5 0-1 "
"beta38","Live Chess","Chess.com","2012.12.22","Jumaham","thinkboolean","1-0","1235","1059","10|0","Jumaham won by checkmate"," 1.e4 e6 2.d4 h6 3.f4 Ne7 4.Nf3 Ng6 5.Bc4 Nh4 6.O-O Nxf3+ 7.Rxf3 b6 8.f5 Bb7 9.Nc3 d5 10.exd5 exd5 11.Bb5+ c6 12.Ba4 b5 13.Bb3 Nd7 14.Qe2+ Be7 15.f6 gxf6 16.Bf4 Rf8 17.Bd6 f5 18.Rxf5 Rc8 19.Re1 Rc7 20.Bxc7 Qxc7 21.Qxe7# 1-0 "
"beta39","Live Chess","Chess.com","2012.12.22","thinkboolean","raghuagna","0-1","1054","1203","10|0","raghuagna won by checkmate"," 1.e3 e5 2.h3 a6 3.b3 b5 4.Bb2 d6 5.Bd3 Bb7 6.f3 Nf6 7.c3 c5 8.Ne2 Be7 9.f4 Bxg2 10.fxe5 dxe5 11.e4 Bxh1 12.Ng3 Qxd3 13.Nxh1 Nc6 14.Qe2 Qxh3 15.Nf2 Qg3 16.d4 cxd4 17.cxd4 exd4 18.Nd2 O-O 19.O-O-O Rac8 20.Kb1 d3 21.Qxd3 Rfd8 22.Qxg3 a5 23.e5 Nd5 24.Nfe4 Kh8 25.Qh3 a4 26.Rg1 f6 27.exf6 Bxf6 28.Qe6 Bxb2 29.Kxb2 a3+ 30.Kxa3 Ra8+ 31.Kb2 Ncb4 32.Ra1 Nd3+ 33.Kc2 Ne3+ 34.Kb1 Rac8 35.a3 Rc1+ 36.Ka2 Rc2+ 37.Kb1 Rdc8 38.Nc4 bxc4 39.bxc4 Rb8+ 40.Qb6 Rxb6# 0-1 "
"beta40","Live Chess","Chess.com","2012.12.22","thinkboolean","mtolinIV","0-1","1048","1168","10|0","mtolinIV won - game abandoned"," 1.e3 c5 2.Bc4 e6 3.Qf3 Nc6 4.Ne2 Ne5 5.Qe4 Nxc4 6.Qxc4 d5 7.Qa4+ Bd7 8.Qb3 Nf6 9.Qxb7 Be7 10.b3 O-O 11.Bb2 Ne4 12.Be5 Bh4 13.g3 Bf6 14.Bc7 Qe7 15.c3 Ng5 16.Na3 Nf3+ 17.Kd1 a6 18.c4 Bxa1 19.cxd5 exd5 20.Qxd5 Qf6 21.Bd6 Qb2 22.Nc2 Qb1+ 23.Nc1 Bb2 24.Ke2 Bg4 25.h3 Nxd2+ 0-1 "
"beta41","Live Chess","Chess.com","2012.12.23","contim","thinkboolean","0-1","1099","1057","10|0","thinkboolean won on time"," 1.e4 e6 2.Nh3 Qf6 3.d3 Bc5 4.Be3 b6 5.Bxc5 bxc5 6.Nc3 d6 7.Be2 a6 8.Bf3 h6 9.e5 Qxe5+ 10.Ne2 Ra7 11.O-O Bb7 12.Bxb7 Rxb7 13.d4 cxd4 14.Nxd4 Rxb2 15.Re1 Qf6 16.Rb1 Rxb1 17.Qxb1 Nd7 18.Nc6 Ne7 19.Qb7 Nxc6 20.Qa8+ Ndb8 21.g3 O-O 22.Qb7 Qc3 23.Kf1 Nd4 24.Re3 Qxc2 25.Nf4 c5 26.Qe7 Nf5 27.Qb7 Nxe3+ 28.Ke1 Nf5 29.h3 Qxa2 30.g4 Nd4 31.Kf1 d5 32.Qb6 Qa1+ 33.Kg2 c4 34.h4 Nbc6 35.g5 hxg5 36.hxg5 g6 37.Kg3 Ne5 38.Nh3 Nf5+ 39.Kf4 Kg7 40.f3 Nd3+ 0-1 "
"beta42","Live Chess","Chess.com","2012.12.23","thinkboolean","dumbdonkey","0-1","1053","1228","10|0","dumbdonkey won by resignation"," 1.e3 d5 2.Qf3 e5 3.b3 e4 4.Qf4 Nf6 5.h3 Bd6 6.Qg5 O-O 7.Be2 Be7 8.Bb2 d4 9.Bxd4 Nc6 10.c3 Nxd4 11.cxd4 h6 12.Qb5 a6 13.Qa5 b6 14.Qa4 Bd7 15.Qc4 Bb5 16.Qc3 Bxe2 17.Nxe2 c5 18.d3 cxd4 19.Nxd4 Rc8 20.Qd2 exd3 21.Qxd3 Bc5 22.O-O Nd5 23.Nd2 Nb4 24.Qe4 Re8 25.Qf4 Nd3 26.Nc4 Nxf4 27.exf4 Qxd4 0-1 "
"beta43","Live Chess","Chess.com","2012.12.23","Jamex316","thinkboolean","0-1","1064","1061","10|0","thinkboolean won by resignation"," 1.e4 e5 2.Qf3 c6 3.Bc4 Nf6 4.Qd3 d5 5.exd5 cxd5 6.Bb5+ Bd7 7.Bxd7+ Qxd7 8.c3 e4 9.Qe2 Bd6 10.Nh3 Ng4 11.O-O Bxh2+ 12.Kh1 Be5 13.d3 exd3 14.Qxd3 O-O 15.Ng5 g6 16.f4 Bg7 17.f5 Nc6 18.fxg6 fxg6 19.Rxf8+ Rxf8 20.g3 Nf2+ 0-1 "
"beta44","Live Chess","Chess.com","2012.12.23","thinkboolean","psppune","0-1","1053","1066","10|0","psppune won by resignation"," 1.e3 a6 2.h3 e5 3.b3 d5 4.Bb2 d4 5.Ne2 Nc6 6.Ng3 Bb4 7.a3 Bc5 8.b4 Bb6 9.c4 dxe3 10.fxe3 Qf6 11.c5 Ba7 12.Ne4 Qe6 13.Bd3 Nf6 14.Ng5 Qe7 15.Qf3 Bd7 16.a4 Nxb4 17.Ke2 Bxc5 18.Qxb7 O-O 19.Nc3 Bc6 20.Qxa8 Rxa8 21.Ba3 Nxd3 22.Kxd3 Rd8+ 23.Ke2 Bxa3 24.h4 0-1 "
"beta45","Live Chess","Chess.com","2012.12.24","chubotonic","thinkboolean","1-0","1079","1045","10|0","chubotonic won by resignation"," 1.d4 b5 2.e3 Ba6 3.Nf3 h6 4.g3 g5 5.Na3 c6 6.b4 Bg7 7.Bg2 Qb6 8.O-O d5 9.c3 e6 10.Ne5 f5 11.Qh5+ Kd8 12.Nf7+ Kd7 13.Nxh8 Qd8 14.Qf7+ Kc8 1-0 "
"beta46","Live Chess","Chess.com","2012.12.28","thinkboolean","chefrose","1-0","1055","1120","10|0","thinkboolean won on time"," 1.e3 e5 2.h3 e4 3.b3 d5 4.Nc3 Nf6 5.Nce2 Bd6 6.Bb2 Nc6 7.Nc1 Qe7 8.a3 Be5 9.Ra2 Bxb2 10.Rxb2 d4 11.Ra2 dxe3 12.dxe3 O-O 13.b4 Be6 14.Ra1 Nxb4 15.axb4 Qxb4+ 16.Qd2 Qb2 17.Ra4 Rfd8 18.Bd3 exd3 19.Nxd3 Qb1+ 20.Ke2 Bf5 21.Kf3 Be4+ 22.Rxe4 Nxe4 23.Kxe4 Re8+ 24.Kf3 Re6 25.Kg3 Qb5 26.f4 Rae8 27.Kf2 Rxe3 28.Qxe3 Rxe3 29.Kxe3 Qb6+ 30.Kd2 a5 31.Nf3 a4 32.Nde5 Qf2+ 33.Kc1 Qxg2 34.Rh2 Qf1+ 35.Kb2 b5 36.h4 b4 37.f5 a3+ 38.Ka2 Qc1 39.Nd3 b3+ 40.Kxb3 Qa1 41.Nd2 a2 42.Nb2 Qb1 43.Nxb1 axb1=Q 44.Rd2 h6 45.Rd1 Qxd1 46.Nxd1 f6 47.Ne3 Kf7 48.Ng4 c5 49.Ne3 g6 50.Kc4 g5 51.hxg5 fxg5 52.Ng4 h5 53.Nh6+ Kf6 54.Kxc5 g4 55.Kd4 g3 56.Ke3 h4 57.Kf4 g2 58.Ng4+ Kf7 59.Ne5+ Ke8 60.Nf3 h3 61.Kg3 Kf7 62.Kxh3 Kf6 63.Kxg2 Kxf5 64.Ne1 Ke5 65.Kf2 Kd5 66.Ke2 Kc4 67.Kd2 Kc5 68.c3 Kc4 69.Nc2 Kd5 70.Ne3+ Kc5 71.c4 Kb4 72.Kd3 Kc5 73.Nd5 Kc6 74.Kd4 Kd6 75.c5+ Kd7 76.Nb6+ Kc6 77.Kc4 Kb7 78.Kb5 Kc7 79.c6 Kd6 80.Na8 1-0 "
"beta47","Live Chess","Chess.com","2012.12.28","andersonm","thinkboolean","0-1","1212","1067","10|0","thinkboolean won by resignation"," 1.e4 e6 2.d3 b6 3.c4 h6 4.Nc3 d6 5.Nf3 c6 6.Be2 Bd7 7.O-O Qc7 8.Bf4 Na6 9.a3 Nc5 10.b4 Nb7 11.e5 f6 12.exd6 Bxd6 13.Bxd6 Nxd6 14.c5 Nf5 15.d4 Nge7 16.Ne4 O-O 17.Nfd2 Nxd4 18.Bh5 Ndf5 19.Nf3 Nd5 20.Nd6 Nxd6 21.cxd6 Qxd6 22.g3 Be8 23.Bxe8 Raxe8 24.Ra2 e5 25.Rd2 Qe6 26.Qb3 Rd8 27.Nh4 Nc7 28.Rxd8 Rxd8 29.Qxe6+ Nxe6 30.Ng6 Ng5 31.Ne7+ Kf7 32.Nxc6 Rd7 33.b5 Ne4 34.Rc1 Nc5 35.Nb8 Rd3 36.Ra1 Rb3 37.a4 Rb4 38.Nc6 Rc4 39.Nxa7 Nxa4 40.Rb1 Nc3 41.Rb2 Rc5 42.Nc8 Rxc8 43.Rb3 Rc5 44.Rb2 Nxb5 45.Rd2 Nd4 46.Rb2 b5 47.f4 Rc4 48.fxe5 fxe5 49.Rf2+ Ke6 50.Rf8 b4 51.Rg8 Kf7 52.Rb8 b3 53.Rb7+ Kf6 54.Kf2 Rc2+ 55.Ke3 b2 56.Rb6+ Ke7 57.Kd3 Rc6 58.Rxb2 Rd6 59.Ke4 Ne6 60.Kxe5 Rd7 61.Rb6 Nc5 62.Rb5 Rc7 63.Kd4 Ne6+ 64.Ke5 Ng5 65.Kf4 Rc4+ 66.Kf5 Nf3 67.Rb7+ Kf8 68.h4 Kg8 69.Kg6 Rc6+ 70.Kh5 Kh7 71.Kg4 Ne5+ 72.Kh5 Ng6 73.Kg4 Rc4+ 74.Kh5 Rc3 75.Kg4 Ne5+ 76.Kf4 Nd3+ 77.Kg4 Nc1 78.h5 Ne2 79.Kf5 Nxg3+ 80.Kg4 Ne4 81.Kf5 Nf6 82.Rb6 Rh3 83.Rxf6 gxf6 84.Kxf6 Rxh5 85.Kf7 Rg5 86.Kf6 Rg6+ 87.Kf5 h5 88.Kf4 h4 0-1 "
"beta48","Live Chess","Chess.com","2013.01.04","Sternenboy","thinkboolean","1-0","1068","1059","10|0","Sternenboy won by checkmate"," 1.e4 e6 2.c4 h6 3.d3 Bd6 4.Nc3 Nf6 5.Qe2 Nh7 6.Be3 b6 7.d4 Nc6 8.d5 Na5 9.Nf3 Bb7 10.O-O-O Qe7 11.Qd3 Ba6 12.Qd4 f6 13.c5 Bxc5 14.Qa4 Bb7 15.Nb5 Bd6 16.g3 c6 17.dxc6 Bxc6 18.Bf4 Bxb5 19.Qxb5 Bxf4+ 20.gxf4 Rc8+ 21.Kb1 Rc7 22.Qa6 O-O 23.Rc1 d5 24.exd5 Rxc1+ 25.Kxc1 Qc7+ 26.Kb1 exd5 27.Nd4 Re8 28.Bb5 Re4 29.Rd1 Rxf4 30.Ne6 Qd6 31.Nxf4 Qxf4 32.Rxd5 Qxh2 33.f3 Qh1+ 34.Kc2 Qxf3 35.Bc6 Qe4+ 36.Kc3 Qe6 37.Rd8+ Nf8 38.Bd7 Qe7 39.Qc8 a6 40.Be6+ Kh7 41.Rxf8 b5 42.Bf5+ g6 43.Rh8+ Kg7 44.Qg8# 1-0 "
"beta49","Live Chess","Chess.com","2013.01.10","thinkboolean","ovatsug8","1-0","1065","951","10|0","thinkboolean won by checkmate"," 1.e3 e5 2.h3 h6 3.Bd3 a6 4.Nf3 f6 5.g3 g5 6.h4 g4 7.Nh2 d6 8.Nxg4 h5 9.Nh2 b6 10.O-O Qd7 11.e4 d5 12.f3 d4 13.c3 Qg7 14.Kg2 Nc6 15.Rg1 Nge7 16.b3 Ng6 17.Kh1 Nce7 18.Bb2 f5 19.cxd4 Qh6 20.dxe5 Bg7 21.f4 Nc6 22.exf5 Bxf5 23.Bxf5 Nge7 24.Be4 Rd8 25.Qc2 Rc8 26.Nc3 Nxe5 27.fxe5 Bxe5 28.Raf1 Rd8 29.Rg2 Nc8 30.Rf5 Bxc3 31.Bxc3 Rg8 32.Bf6 Rd4 33.Bc6+ Kf8 34.Bg5+ Kg7 35.Bxh6+ Kxh6 36.Re2 Rg6 37.Be4 Nd6 38.Rxh5+ Kxh5 39.Bxg6+ Kh6 40.Bh7 Kg7 41.Qg6+ Kf8 42.Qg8# 1-0 "
"beta50","Live Chess","Chess.com","2013.01.10","durairajes","thinkboolean","0-1","992","1076","10|0","thinkboolean won on time"," 1.e3 h6 2.Nf3 g5 3.Qe2 b6 4.Qc4 Bb7 5.Qd4 Nf6 6.h4 gxh4 7.Nxh4 e6 8.Qf4 Bd6 9.Qd4 c5 10.Qd3 Qe7 11.Nc3 Nc6 12.e4 Nb4 13.Qc4 Ba6 14.Qb3 Bb7 15.f3 Bg3+ 16.Kd1 d5 17.Ne2 Ng4 18.fxg4 Bxh4 19.a3 Na6 20.Qa4+ Kd8 21.Nc3 Bf6 22.Bxa6 Bxc3 23.bxc3 dxe4 24.Re1 f5 25.gxf5 exf5 0-1 "
"beta51","Live Chess","Chess.com","2014.11.22","FernandoAlmeidaSousa","thinkboolean","0-1","1011","1055","2|1","thinkboolean won on time"," 1.e4 e6 2.Nf3 Qf6 3.e5 Qf4 4.d4 Bb4+ 5.c3 Qe4+ 6.Be2 Be7 7.Nbd2 Qd5 8.c4 Qa5 9.O-O Nc6 10.Nb3 Qb6 11.c5 Qb4 12.Bd2 Qa4 13.Bd3 Nb4 14.Bc4 b5 15.Be2 Nd5 16.Bd3 a5 17.Qe2 b4 18.Bb5 Nf4 19.Qc4 Ba6 20.Bxa6 Rxa6 21.Qxa6 d6 22.Qxa5 Ne2+ 23.Kh1 Qxa5 24.Nxa5 dxc5 25.dxc5 Bxc5 26.Be3 Bxe3 27.fxe3 Ne7 28.Nd4 Nxd4 29.exd4 Nd5 0-1 "
"beta52","Live Chess","Chess.com","2014.11.22","thinkboolean","FernandoAlmeidaSousa","0-1","1046","1020","2|1","FernandoAlmeidaSousa won by resignation"," 1.e3 d5 2.Qh5 e6 3.Nc3 g6 4.Qg4 Bg7 5.Qa4+ Bd7 6.Nb5 a6 7.Qa5 Nc6 8.Qxc7 axb5 9.Qxb7 Rb8 10.Qa6 Nf6 11.Bxb5 Nb4 12.Bxd7+ Qxd7 13.Kd1 Nxa6 14.b3 O-O 15.Bb2 Ne4 16.Nh3 Bxb2 17.Rb1 Bg7 18.Nf4 Nxf2+ 19.Ke2 Nxh1 20.Rxh1 Nb4 0-1 "
"beta53","Live Chess","Chess.com","2014.11.24","NekrozoR","thinkboolean","1-0","1216","1175","10|0","NekrozoR won by resignation"," 1.e4 e6 2.d4 Qh4 3.Bd3 Nc6 4.Nf3 Qg4 5.h3 Qh5 6.O-O Bd6 7.Nc3 Nf6 8.e5 Bxe5 9.dxe5 Nd5 10.Nxd5 exd5 11.Nd2 Nxe5 12.Re1 O-O 13.Qxh5 1-0 "
"beta54","Live Chess","Chess.com","2014.11.24","BOYAKS_F","thinkboolean","0-1","1097","1203","10|0","thinkboolean won on time"," 1.d4 e6 2.e4 Qh4 3.Nc3 Nf6 4.Nf3 Qh5 5.Be2 Qa5 6.Bd2 Bb4 7.O-O Nc6 8.e5 Nd5 9.Nxd5 Bxd2 10.Nxc7+ Qxc7 11.Qxd2 Qb6 12.c3 Na5 13.b4 Nc6 14.Bd3 Ne7 15.Qd1 Nd5 16.Rc1 d6 17.Re1 Qc6 18.c4 Nxb4 19.Be4 Qb6 20.Rb1 Qa5 21.Ng5 d5 22.Bd3 h6 23.Qh5 Rf8 24.Nxf7 Nxd3 25.Nd6+ Kd7 26.Qg6 Qxe1+ 27.Rxe1 Nxe1 28.Qxg7+ Kc6 0-1 "
"beta55","Live Chess","Chess.com","2014.11.26","thinkboolean","Tmaplisca","1-0","1232","1163","10|0","thinkboolean won by checkmate"," 1.e3 e5 2.Qg4 Nc6 3.Nc3 Nf6 4.Qa4 d5 5.b3 Bd7 6.Bb5 a6 7.Bxc6 Bxc6 8.Qh4 Be7 9.Nf3 O-O 10.Ng5 h6 11.Nf3 e4 12.Nd4 Nh7 13.Qf4 Bg5 14.Nxc6 bxc6 15.Qe5 f6 16.Qd4 Qd6 17.Na4 f5 18.Nc5 Bf6 19.Nb7 Qd7 20.Nc5 Qc8 21.Qb4 Bxa1 22.c3 Rb8 23.Qa4 Rb5 24.Ba3 a5 25.O-O Bxc3 26.dxc3 Nf6 27.c4 Rd8 28.cxb5 cxb5 29.Qxb5 c6 30.Qxa5 Kh7 31.Rc1 Rd6 32.Nxe4 Re6 33.Nxf6+ Rxf6 34.b4 Qe6 35.b5 cxb5 36.Qxb5 Rg6 37.Rc5 Qe4 38.g3 Qf3 39.Rxd5 h5 40.Rxf5 Qd1+ 41.Kg2 Kh6 42.Qe8 Qe2 43.Qh8# 1-0 "
